,店內開盒遊戲列表,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
中文名稱,注音索引,英文名稱,語言版本,遊戲人數,放置櫃位,BGG玩家評分,BGG建議最佳人數,BGG遊戲時間(分鐘),BGG遊戲難度,BGG連結,所有人,店內熱門,定價,分類,標籤1,標籤2,標籤3
捕鯨船,ㄅ,New Bedford,英,1-4,L7,7.2,3-4,75,2.42,https://boardgamegeek.com/boardgame/157413/new-bedford,烏嘎嘎,,,,,,
帝國開拓者,ㄉ,Imperial Settlers,中,1-4,,7.5,2,45-90,2.77,https://boardgamegeek.com/boardgame/154203/imperial-settlers,烏嘎嘎,,,,,,
詭鎮奇談,ㄍ,Arkham Horror：The Card Game,中,1-4,H6,8.2,2,60-120,3.49,https://boardgamegeek.com/boardgame/205637/arkham-horror-card-game,烏嘎嘎,,,,,,
鐮刀戰爭,ㄌ,Scythe,中,1-5,A2,8.3,4,90-115,3.37,https://boardgamegeek.com/boardgame/169786/scythe,烏嘎嘎,,,,,,
奧爾良：強敵入侵,ㄠ,Orleans: Invasion,中,1-5,C3,8.3,4,90-100,3.47,https://boardgamegeek.com/boardgame/183682/orleans-invasion ,烏嘎嘎,,,,,,
努斯峽灣,ㄋ,Nusfjord,英,1-5,D2,7.5,3,20-100,2.9,https://boardgamegeek.com/boardgame/234277/nusfjord,烏嘎嘎,,,,,,
農家樂,ㄋ,Agricola,中,1-5,D2,8,3-4,30-150,3.63,https://boardgamegeek.com/boardgame/31260/agricola,烏嘎嘎,v,,,,,
港都情濃,ㄍ,Le Havre,中,1-5,D2,7.9,3,30-150,3.76,https://boardgamegeek.com/boardgame/35677/le-havre,烏嘎嘎,,,,,,
巨龍峽谷,ㄐ,Dragon Canyon,中,1-5,E4,6.8,N/A,30,2,https://boardgamegeek.com/boardgame/230013/dragon-canyon,烏嘎嘎,,,,,,
太空警報,ㄊ,Space Alert,英,1-5,F1,7.5,4-5,30,2.94,https://boardgamegeek.com/boardgame/38453/space-alert,烏嘎嘎,,,,,,
